#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1082: Grand Targhee, WY
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Grand Targhee (1082) 
# Wyoming  SNOTEL Site - 9260 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Apr 22, 2026, 3:04:41 PM GMT-08:00
#
Date,Grand Targhee (1082) Snow Water Equivalent (in) Start of Day Values,Grand Targhee (1082) Precipitation Accumulation (in) Start of Day Values,Grand Targhee (1082) Air Temperature Average (degF),Grand Targhee (1082) Air Temperature Maximum (degF),Grand Targhee (1082) Air Temperature Minimum (degF),Grand Targhee (1082) Snow Depth (in) Start of Day Values
2006-11-03,4.6,6.2,30.2,31.6,26.2,20
2006-11-04,5.3,6.7,30.4,32.0,28.4,24
2006-11-05,5.7,7.1,30.7,32.7,28.4,25
2006-11-06,5.8,7.3,36.1,39.0,32.7,25
2006-11-07,7.1,8.6,41.7,46.2,37.4,25
2006-11-08,7.1,8.6,36.1,45.5,27.5,21
2006-11-09,7.2,8.7,22.5,31.6,18.0,20
2006-11-10,7.2,8.7,20.7,27.1,16.3,23
2006-11-11,7.3,8.8,23.4,28.2,14.5,23
2006-11-12,8.0,9.5,14.0,21.9,7.3,33
2006-11-13,8.0,9.5,21.4,26.2,16.5,33
2006-11-14,9.0,10.0,18.3,27.7,9.1,39
2006-11-15,9.0,10.0,18.3,30.2,9.5,38
2006-11-16,9.0,10.0,27.9,32.7,23.4,38
2006-11-17,10.2,10.6,27.0,29.3,24.1,41
2006-11-18,10.3,10.7,25.2,34.0,18.9,39
2006-11-19,10.3,10.7,32.0,40.3,20.3,41
2006-11-20,10.7,10.9,37.9,44.4,33.4,39
2006-11-21,10.7,10.9,38.3,41.2,36.0,38
2006-11-22,10.7,10.9,34.5,41.4,26.6,38
2006-11-23,10.7,10.9,20.7,35.8,9.9,37
2006-11-24,10.7,10.9,16.3,23.2,8.2,39
2006-11-25,10.7,10.9,19.2,25.0,13.8,38
2006-11-26,10.7,10.9,21.6,25.9,17.2,38
2006-11-27,10.7,10.9,18.3,26.2,5.9,39
2006-11-28,11.3,11.2,3.0,10.8,-4.5,46
2006-11-29,11.3,11.2,-4.4,8.4,-9.2,48
2006-11-30,11.3,11.2,4.1,8.8,-4.4,47
2006-12-01,11.8,11.6,7.5,13.5,5.0,46
2006-12-02,12.1,11.8,2.8,13.5,-4.5,50
2006-12-03,12.1,11.8,8.4,19.0,-2.7,50
2006-12-04,12.1,11.8,19.8,30.2,9.9,46
2006-12-05,12.2,11.9,19.9,23.4,14.9,46
2006-12-06,12.2,11.9,23.9,30.2,17.1,46
2006-12-07,12.3,12.0,30.2,41.0,22.5,45
2006-12-08,12.3,12.0,34.7,43.5,30.6,44
2006-12-09,12.3,12.0,28.2,35.2,21.4,44
2006-12-10,12.3,12.0,25.5,29.8,22.5,43
2006-12-11,12.5,12.2,20.5,25.3,16.9,46
2006-12-12,12.7,12.3,23.0,25.2,18.3,47
2006-12-13,13.6,13.0,26.4,29.3,23.9,50
2006-12-14,14.9,13.5,27.9,32.0,23.9,56
2006-12-15,16.9,14.9,22.5,32.2,10.6,64
2006-12-16,16.9,14.9,4.6,11.5,-2.6,63
2006-12-17,16.9,14.9,7.9,20.8,2.5,64
2006-12-18,16.9,14.9,8.2,29.1,0.7,64
2006-12-19,17.1,15.1,17.2,29.3,8.4,63
2006-12-20,17.2,15.2,23.9,41.4,17.8,62
2006-12-21,17.2,15.2,22.5,32.5,17.6,61
2006-12-22,17.4,15.4,17.2,25.5,6.1,59
2006-12-23,17.4,15.4,14.9,23.4,5.4,60
2006-12-24,17.9,15.9,12.0,21.9,6.1,71
2006-12-25,18.0,15.9,24.3,29.3,14.7,71
2006-12-26,18.4,16.2,25.7,27.7,22.6,71
2006-12-27,18.8,16.3,25.7,28.8,21.2,70
2006-12-28,19.7,17.1,20.5,28.8,16.3,76
2006-12-29,19.7,17.1,20.7,32.5,12.9,73
2006-12-30,19.7,17.1,24.3,37.9,18.7,72
2006-12-31,19.7,17.1,21.7,31.5,14.0,72
2007-01-01,19.7,17.1,17.2,29.7,11.8,71
2007-01-02,19.7,17.1,23.4,29.8,19.9,70
2007-01-03,20.0,17.4,25.5,28.8,23.2,69
2007-01-04,20.1,17.5,16.2,26.2,8.2,70
2007-01-05,20.3,17.6,6.8,13.3,-1.7,72
2007-01-06,20.7,17.7,5.4,10.4,0.9,80
2007-01-07,21.2,18.0,8.2,16.3,-1.3,81
2007-01-08,21.7,18.4,21.4,24.4,16.3,80
2007-01-09,22.3,18.9,25.0,31.8,22.1,82
2007-01-10,22.6,19.1,21.4,23.7,18.0,79
2007-01-11,22.7,19.2,1.9,18.0,-11.2,81
2007-01-12,22.7,19.2,-1.8,13.6,-11.9,84
2007-01-13,22.7,19.2,-5.4,9.7,-12.1,77
2007-01-14,22.7,19.2,-2.7,18.7,-10.5,81
2007-01-15,22.7,19.2,5.2,26.6,-6.2,75
2007-01-16,23.0,19.4,15.8,34.5,9.1,78
2007-01-17,23.2,19.6,7.2,15.3,-2.7,77
2007-01-18,23.2,19.6,3.2,16.0,-5.6,77
2007-01-19,23.2,19.6,18.3,30.9,12.0,75
2007-01-20,23.2,19.6,13.3,19.9,5.9,76
2007-01-21,23.5,19.9,9.1,19.6,3.2,83
2007-01-22,23.5,19.9,14.4,23.7,4.3,82
2007-01-23,23.6,20.0,25.0,34.2,15.3,75
2007-01-24,23.7,20.1,27.3,44.1,21.9,79
2007-01-25,23.7,20.1,28.8,43.5,23.7,79
2007-01-26,23.7,20.1,22.5,38.3,15.3,77
2007-01-27,23.7,20.1,13.8,28.8,8.1,75
2007-01-28,23.7,20.1,16.5,31.8,9.7,76
2007-01-29,23.7,20.1,15.6,27.9,10.4,75
2007-01-30,23.7,20.1,12.9,24.6,7.3,75
2007-01-31,23.7,20.1,3.9,10.8,-2.6,82
2007-02-01,23.7,20.1,-0.6,7.7,-10.8,80
2007-02-02,23.7,20.1,0.1,7.3,-11.4,79
2007-02-03,23.9,20.3,14.0,21.2,5.7,81
2007-02-04,24.1,20.5,26.6,34.9,20.8,81
2007-02-05,24.2,20.6,33.1,41.9,28.2,80
2007-02-06,24.3,20.7,35.2,43.5,27.5,78
2007-02-07,24.3,20.7,32.2,40.8,25.5,78
2007-02-08,24.3,20.7,27.0,33.8,23.4,77
2007-02-09,25.0,21.2,25.9,27.1,23.4,80
2007-02-10,25.5,21.5,26.6,31.8,19.9,83
2007-02-11,25.8,21.6,28.4,32.2,23.7,84
2007-02-12,27.1,22.6,21.2,27.7,18.3,92
2007-02-13,27.6,23.2,18.3,31.5,12.2,97
2007-02-14,27.7,23.3,15.4,21.2,10.0,96
2007-02-15,27.7,23.3,21.2,27.5,15.3,97
2007-02-16,29.0,24.2,20.1,27.7,12.4,101
2007-02-17,29.0,24.2,20.3,34.3,12.6,98
2007-02-18,29.0,24.2,25.0,29.1,19.8,96
2007-02-19,29.4,24.4,15.8,22.3,11.8,95
2007-02-20,29.5,24.5,18.0,23.4,11.8,97
2007-02-21,29.8,24.7,22.5,26.4,20.7,97
2007-02-22,30.1,25.0,30.0,36.0,26.4,97
2007-02-23,30.2,25.1,16.0,26.6,12.2,95
2007-02-24,30.3,25.2,10.4,13.8,7.3,98
2007-02-25,30.6,25.2,16.0,26.8,9.7,101
2007-02-26,31.1,25.5,12.7,17.1,8.2,106
2007-02-27,31.5,25.6,12.0,18.9,7.9,106
2007-02-28,31.8,25.8,8.2,19.4,-0.8,108
2007-03-01,32.1,25.9,5.7,8.2,4.3,108
2007-03-02,32.6,26.2,2.1,16.2,-7.2,110
2007-03-03,32.6,26.2,12.9,26.4,-4.0,110
2007-03-04,33.1,26.5,25.0,34.7,16.5,106
2007-03-05,33.1,26.5,30.7,44.1,23.4,104
2007-03-06,33.2,26.6,31.6,45.3,24.8,102
2007-03-07,33.2,26.6,32.5,41.4,24.8,101
2007-03-08,33.4,26.7,25.0,32.7,18.3,100
2007-03-09,33.5,26.7,27.3,34.3,21.7,101
2007-03-10,33.7,26.9,27.0,36.1,23.9,101
2007-03-11,33.8,27.2,31.5,43.9,22.3,102
2007-03-12,34.0,27.2,40.1,47.8,29.5,101
2007-03-13,34.2,27.3,38.1,43.5,32.7,99
2007-03-14,34.2,27.3,30.4,34.2,21.4,97
2007-03-15,34.2,27.3,27.1,34.2,18.0,97
2007-03-16,34.2,27.3,35.2,41.7,28.8,96
2007-03-17,34.2,27.3,41.0,50.4,32.7,96
2007-03-18,34.2,27.3,39.9,47.8,32.4,95
2007-03-19,34.2,27.3,38.3,46.0,30.0,95
2007-03-20,34.2,27.3,34.3,40.3,29.3,94
2007-03-21,34.2,27.3,28.4,40.6,20.3,94
2007-03-22,34.2,27.3,30.2,42.6,20.7,95
2007-03-23,34.2,27.3,32.9,46.2,27.7,94
2007-03-24,34.4,27.4,37.0,49.8,26.4,94
2007-03-25,34.4,27.4,38.3,46.0,32.0,93
2007-03-26,34.5,27.5,39.6,49.6,32.0,93
2007-03-27,34.7,27.5,33.3,41.2,24.4,92
2007-03-28,35.2,28.0,24.1,29.7,15.1,98
2007-03-29,35.3,28.0,24.6,38.1,15.8,99
2007-03-30,35.5,28.0,22.1,27.3,13.6,98
2007-03-31,35.6,28.1,30.7,40.3,23.4,97
2007-04-01,35.8,28.2,29.3,35.2,26.4,96
2007-04-02,36.1,28.5,20.8,29.7,9.1,99
2007-04-03,36.7,28.7,21.0,31.6,9.3,104
2007-04-04,36.9,28.9,34.3,45.5,25.7,102
2007-04-05,37.2,29.1,36.9,48.4,30.2,100
2007-04-06,37.3,29.1,38.5,49.5,29.3,98
2007-04-07,37.6,29.1,38.3,49.5,27.7,97
2007-04-08,37.6,29.1,32.9,36.9,28.8,96
2007-04-09,38.0,29.5,27.3,33.4,17.2,97
2007-04-10,38.4,29.7,15.8,35.6,10.9,101
2007-04-11,38.4,29.7,19.8,31.6,11.1,100
2007-04-12,38.8,29.7,24.8,37.4,10.9,101
2007-04-13,38.8,29.7,27.7,43.9,14.2,100
2007-04-14,39.0,29.8,36.9,51.4,23.9,99
2007-04-15,39.1,29.9,39.2,49.5,31.8,97
2007-04-16,39.1,29.9,39.2,49.5,29.7,96
2007-04-17,39.3,29.9,38.8,49.6,27.7,95
2007-04-18,39.6,30.0,29.5,41.4,19.2,93
2007-04-19,39.9,30.2,18.3,21.9,14.4,96
2007-04-20,40.8,30.7,24.4,35.6,10.9,106
2007-04-21,41.2,31.0,28.8,41.4,23.5,105
2007-04-22,41.6,31.1,32.7,47.5,20.1,102
2007-04-23,41.8,31.2,32.7,43.5,23.9,102
2007-04-24,42.1,31.6,37.0,47.5,25.7,104
2007-04-25,42.1,31.7,38.7,51.4,27.7,100
2007-04-26,42.1,31.7,34.9,43.5,32.0,98
2007-04-27,42.1,31.8,41.0,53.4,29.5,99
2007-04-28,42.1,31.8,50.2,59.4,39.6,97
2007-04-29,42.1,31.8,53.2,64.4,45.7,94
2007-04-30,42.1,31.8,48.2,56.5,42.1,92
2007-05-01,41.9,31.8,50.7,63.3,42.6,89
2007-05-02,40.7,31.9,48.0,60.4,36.9,87
2007-05-03,40.2,31.9,27.0,43.5,14.5,86
2007-05-04,40.0,32.0,26.4,43.5,11.7,87
2007-05-05,40.1,32.1,28.2,37.4,20.1,88
2007-05-06,40.4,32.5,34.5,49.5,21.9,92
2007-05-07,40.4,32.6,41.4,51.4,27.7,88
2007-05-08,40.3,32.6,47.1,59.4,33.4,86
2007-05-09,40.0,32.6,48.6,61.3,39.4,84
2007-05-10,39.5,32.6,51.8,63.3,41.4,82
2007-05-11,38.2,32.6,55.4,67.3,43.5,80
2007-05-12,37.0,32.6,56.8,65.3,49.5,77
2007-05-13,35.4,32.6,51.6,61.3,35.6,73
2007-05-14,33.6,32.6,42.1,53.6,30.9,70
2007-05-15,32.3,32.6,46.6,60.1,33.4,69
2007-05-16,31.6,32.6,51.8,65.3,37.4,66
2007-05-17,30.2,32.6,53.2,65.3,45.5,64
2007-05-18,28.8,32.6,55.0,63.3,45.5,62
2007-05-19,27.8,32.6,53.6,63.3,45.5,60
2007-05-20,26.2,32.6,48.2,59.4,38.5,57
2007-05-21,25.1,32.6,31.8,41.4,18.3,54
2007-05-22,24.7,32.6,24.8,33.4,18.3,55
2007-05-23,25.3,33.0,31.8,47.5,18.3,61
2007-05-24,25.3,33.0,35.2,41.4,25.7,58
2007-05-25,25.5,33.2,41.7,51.4,33.4,57
2007-05-26,25.0,33.2,46.8,57.4,37.4,55
2007-05-27,24.5,33.2,51.4,63.3,43.7,52
2007-05-28,23.7,33.2,41.0,48.9,27.7,49
2007-05-29,21.8,33.2,34.2,45.5,23.2,47
2007-05-30,21.4,33.2,40.8,53.8,27.7,47
2007-05-31,21.0,33.3,46.0,57.4,33.4,45
2007-06-01,20.3,33.3,51.1,61.7,42.1,42
2007-06-02,18.5,33.3,52.7,67.5,41.4,40
2007-06-03,17.2,33.3,54.3,71.1,44.8,38
2007-06-04,15.9,33.4,55.4,67.6,43.5,36
2007-06-05,14.5,33.4,52.5,63.3,40.3,32
2007-06-06,12.6,33.4,34.7,47.1,27.0,30
2007-06-07,13.5,34.5,34.2,50.9,26.8,38
2007-06-08,13.9,34.9,36.9,49.8,28.2,38
2007-06-09,14.4,35.4,45.9,57.6,32.5,40
2007-06-10,13.8,35.5,50.4,60.4,43.2,33
2007-06-11,13.0,35.6,47.3,55.4,38.7,30
2007-06-12,11.3,35.6,48.6,59.0,38.5,26
2007-06-13,9.4,35.6,51.8,59.7,44.4,23
2007-06-14,7.3,35.6,52.7,59.2,46.6,19
2007-06-15,4.6,35.6,55.4,63.9,44.6,13
2007-06-16,1.9,35.6,60.6,68.9,52.0,6
2007-06-17,0.3,35.6,45.3,59.2,34.7,1
2007-06-18,0.0,35.6,43.0,53.1,31.5,0
2007-06-19,0.0,35.6,55.0,65.8,42.6,0
2007-06-20,0.0,35.6,64.0,72.7,54.3,0
2007-06-21,0.0,35.6,62.1,71.6,52.9,0
2007-06-22,0.0,35.6,63.5,71.8,53.1,0
2007-06-23,0.0,35.6,62.8,67.6,56.1,0
2007-06-24,0.0,35.6,59.4,68.0,51.1,0
2007-06-25,0.0,35.6,51.3,57.7,44.2,0
2007-06-26,0.0,35.6,57.2,69.8,41.7,0
2007-06-27,0.0,35.6,63.5,74.1,55.6,0
2007-06-28,0.0,35.6,65.8,77.2,57.2,0
2007-06-29,0.0,35.6,65.5,73.2,57.0,0
2007-06-30,0.0,35.6,62.6,72.3,54.1,0
2007-07-01,0.0,35.6,63.3,73.0,54.3,0
2007-07-02,0.0,35.6,64.8,74.7,55.9,0
2007-07-03,0.0,35.6,62.8,74.5,53.4,0
2007-07-04,0.0,35.6,66.6,77.9,55.6,0
2007-07-05,0.0,35.6,68.4,80.8,58.3,0
2007-07-06,0.0,35.6,69.6,80.8,60.1,0
2007-07-07,0.0,35.6,64.9,74.5,54.3,0
2007-07-08,0.0,35.6,62.1,71.2,52.9,0
2007-07-09,0.0,35.6,67.8,73.4,51.4,0
2007-07-10,0.0,35.6,64.4,74.5,55.8,0
2007-07-11,0.0,35.6,66.6,77.4,57.2,0
2007-07-12,0.0,35.6,64.4,73.8,57.9,0
2007-07-13,0.0,35.6,65.3,76.3,57.0,0
2007-07-14,0.0,35.6,67.1,77.9,57.9,0
2007-07-15,0.0,35.6,68.2,80.6,59.9,0
2007-07-16,0.0,35.6,66.4,77.2,57.2,0
2007-07-17,0.0,35.6,62.1,70.5,55.6,0
2007-07-18,0.0,35.6,67.6,78.8,55.2,0
2007-07-19,0.0,35.6,68.5,79.0,61.0,0
2007-07-20,0.0,35.7,68.2,77.2,61.7,0
2007-07-21,0.0,35.7,68.4,78.4,61.5,0
2007-07-22,0.0,35.7,70.2,81.0,59.2,0
2007-07-23,0.0,35.7,72.9,84.2,66.4,0
2007-07-24,0.0,35.7,62.1,70.5,55.4,0
2007-07-25,0.0,35.8,57.6,65.3,53.6,0
2007-07-26,0.0,36.1,57.9,70.5,52.2,0
2007-07-27,0.0,36.6,60.4,70.5,54.0,0
2007-07-28,0.0,36.7,64.4,75.6,56.5,0
2007-07-29,0.0,36.7,67.6,77.5,58.5,0
2007-07-30,0.0,36.7,69.4,80.1,59.9,0
2007-07-31,0.0,36.7,66.4,75.2,59.9,0
2007-08-01,0.0,36.7,64.8,76.6,57.7,0
2007-08-02,0.0,36.8,59.4,68.4,52.9,0
2007-08-03,0.0,37.0,58.6,68.2,52.2,0
2007-08-04,0.0,37.0,59.5,70.9,51.3,0
2007-08-05,0.0,37.0,59.0,72.3,51.1,0
2007-08-06,0.0,37.4,58.6,69.1,50.7,0
2007-08-07,0.0,37.5,58.5,66.9,50.7,0
2007-08-08,0.0,37.5,55.8,64.4,45.0,0
2007-08-09,0.0,37.6,62.2,71.2,53.4,0
2007-08-10,0.0,37.6,61.7,68.4,53.6,0
2007-08-11,0.0,37.6,61.2,71.8,51.4,0
2007-08-12,0.0,37.6,66.4,75.6,59.0,0
2007-08-13,0.0,37.6,67.3,76.5,60.4,0
2007-08-14,0.0,37.6,67.1,77.5,59.2,0
2007-08-15,0.0,37.6,64.8,73.8,58.6,0
2007-08-16,0.0,37.7,64.8,76.6,53.4,0
2007-08-17,0.0,37.7,57.0,65.5,48.2,0
2007-08-18,0.0,38.2,56.5,64.8,45.3,0
2007-08-19,0.0,38.8,56.7,65.8,48.4,0
2007-08-20,0.0,38.9,50.2,57.7,40.3,0
2007-08-21,0.0,39.0,50.7,58.8,45.9,0
2007-08-22,0.0,39.1,49.3,55.8,42.4,0
2007-08-23,0.0,39.1,50.9,60.6,42.8,0
2007-08-24,0.0,39.2,50.7,61.0,40.5,0
2007-08-25,0.0,39.2,59.2,69.4,47.1,0
2007-08-26,0.0,39.2,61.5,68.4,55.6,0
2007-08-27,0.0,39.2,58.3,66.9,51.6,0
2007-08-28,0.0,39.2,55.8,65.8,46.6,0
2007-08-29,0.0,39.2,60.6,72.0,49.3,0
2007-08-30,0.0,39.2,64.4,74.3,57.9,0
2007-08-31,0.0,39.2,57.2,64.0,50.9,0
2007-09-01,0.0,39.3,60.4,69.4,53.6,0
2007-09-02,0.0,39.3,63.7,73.0,57.4,0
2007-09-03,0.0,39.3,64.2,74.1,54.9,0
2007-09-04,0.0,39.3,56.7,66.4,45.7,0
2007-09-05,0.0,40.0,47.5,55.9,41.7,0
2007-09-06,0.0,40.3,43.9,50.9,38.7,0
2007-09-07,0.0,40.6,49.8,57.4,41.9,0
2007-09-08,0.0,40.6,46.6,55.6,39.6,0
2007-09-09,0.0,40.6,41.7,48.9,32.2,0
2007-09-10,0.0,40.6,45.7,60.1,30.7,0
2007-09-11,0.0,40.7,53.2,63.5,45.7,0
